row,date,direction,amount,counterparty,summary,remark,decision,classification,confidence,basis,treatment,risk,note
27,20210130 16:33:29,expense,15.0,上海童励科技有限公司,网络转账,货款,post,purchase_payment,medium,对公/对私转账+备注货款,借: 预付账款-上海童励科技有限公司; 贷: 银行存款,medium,"缺发票/入库单, 先按预付账款处理"
28,20210130 17:02:06,expense,247.0,郭海洋,网络转账,货款,hold,purchase_payment,low,对公/对私转账+备注货款,借: 预付账款-郭海洋; 贷: 银行存款,high,对私货款需补采购单据及收款人身份关系
29,20210130 17:20:39,expense,197.27,义乌墨言文化用品有限公司,网络转账,货款,post,purchase_payment,medium,对公/对私转账+备注货款,借: 预付账款-义乌墨言文化用品有限公司; 贷: 银行存款,medium,"缺发票/入库单, 先按预付账款处理"
30,20210130 17:32:56,expense,488.0,梁飞红,网络转账,货款,hold,purchase_payment,low,对公/对私转账+备注货款,借: 预付账款-梁飞红; 贷: 银行存款,high,对私货款需补采购单据及收款人身份关系
31,20210130 17:37:28,expense,221.48,扬州萌豆豆玩具有限公司,网络转账,货款,post,purchase_payment,medium,对公/对私转账+备注货款,借: 预付账款-扬州萌豆豆玩具有限公司; 贷: 银行存款,medium,"缺发票/入库单, 先按预付账款处理"
32,20210130 17:41:31,expense,743.7,刘巨乐,网络转账,货款,hold,purchase_payment,low,对公/对私转账+备注货款,借: 预付账款-刘巨乐; 贷: 银行存款,high,对私货款需补采购单据及收款人身份关系
33,20210130 17:44:31,expense,79.38,奥艺(上海)贸易有限公司,网络转账,货款,post,purchase_payment,medium,对公/对私转账+备注货款,借: 预付账款-奥艺(上海)贸易有限公司; 贷: 银行存款,medium,"缺发票/入库单, 先按预付账款处理"
34,20210130 22:18:13,expense,800.0,深圳市奇佳工艺品有限公司,网络转账,货款,post,purchase_payment,medium,对公/对私转账+备注货款,借: 预付账款-深圳市奇佳工艺品有限公司; 贷: 银行存款,medium,"缺发票/入库单, 先按预付账款处理"
35,20210130 22:52:34,expense,3258.0,支付宝（中国）网络技术有限公司客户备付金,消费,网上选购装修用品-上海羽维电子商务有限公司-,hold,office_fitout_expense,medium,"装修用品消费事实较明确, 但缺发票",候选A 借: 长期待摊费用/管理费用-装修费; 贷: 银行存款 (上海羽维电子商务有限公司),medium,需结合金额和受益期判断费用或长期待摊
36,20210130 22:55:22,expense,2560.0,支付宝（中国）网络技术有限公司客户备付金,消费,网上选购用品-朱鹏-,hold,office_or_operating_expense,medium,第三方支付已穿透到商户,候选A 借: 管理费用-办公费/低值易耗品; 贷: 银行存款 (朱鹏),medium,"需补订单/用途/发票, 无票需保留风险标记"
37,20210130 22:59:45,expense,633.6,支付宝（中国）网络技术有限公司客户备付金,消费,网上选购用品-江苏佳程信息科技有限公司-,hold,office_or_operating_expense,medium,第三方支付已穿透到商户,候选A 借: 管理费用-办公费/低值易耗品; 贷: 银行存款 (江苏佳程信息科技有限公司),medium,"需补订单/用途/发票, 无票需保留风险标记"
38,20210130 23:11:00,expense,1524.0,卢晓春,网络转账,货款,hold,purchase_payment,low,对公/对私转账+备注货款,借: 预付账款-卢晓春; 贷: 银行存款,high,对私货款需补采购单据及收款人身份关系
39,20210130 23:16:35,expense,248.0,支付宝（中国）网络技术有限公司客户备付金,消费,网上选购用品-谢寿明-,hold,office_or_operating_expense,medium,第三方支付已穿透到商户,候选A 借: 管理费用-办公费/低值易耗品; 贷: 银行存款 (谢寿明),medium,"需补订单/用途/发票, 无票需保留风险标记"
40,20210130 23:38:00,expense,180.0,支付宝（中国）网络技术有限公司客户备付金,消费,网上选购用品-刘校贤-,hold,office_or_operating_expense,medium,第三方支付已穿透到商户,候选A 借: 管理费用-办公费/低值易耗品; 贷: 银行存款 (刘校贤),medium,"需补订单/用途/发票, 无票需保留风险标记"
41,20210130 23:41:08,expense,326.7,支付宝（中国）网络技术有限公司客户备付金,消费,网上选购用品-许开兴-,hold,office_or_operating_expense,medium,第三方支付已穿透到商户,候选A 借: 管理费用-办公费/低值易耗品; 贷: 银行存款 (许开兴),medium,"需补订单/用途/发票, 无票需保留风险标记"
42,20210130 23:48:56,expense,186.62,支付宝（中国）网络技术有限公司客户备付金,消费,网上选购用品-重庆仔仔科技有限公司-,hold,office_or_operating_expense,medium,第三方支付已穿透到商户,候选A 借: 管理费用-办公费/低值易耗品; 贷: 银行存款 (重庆仔仔科技有限公司),medium,"需补订单/用途/发票, 无票需保留风险标记"
43,20210130 23:52:34,expense,211.03,支付宝（中国）网络技术有限公司客户备付金,消费,网上选购用品-高克文-,hold,office_or_operating_expense,medium,第三方支付已穿透到商户,候选A 借: 管理费用-办公费/低值易耗品; 贷: 银行存款 (高克文),medium,"需补订单/用途/发票, 无票需保留风险标记"
44,20210131 09:38:07,expense,1844.11,支付宝（中国）网络技术有限公司客户备付金,消费,网上选购用品-深圳市华创商业展示有限公司-,hold,office_or_operating_expense,medium,第三方支付已穿透到商户,候选A 借: 管理费用-办公费/低值易耗品; 贷: 银行存款 (深圳市华创商业展示有限公司),medium,"需补订单/用途/发票, 无票需保留风险标记"
45,20210131 10:16:58,expense,2168.0,支付宝（中国）网络技术有限公司客户备付金,消费,网上选购用品-广州多艺多贸易有限公司-,hold,office_or_operating_expense,medium,第三方支付已穿透到商户,候选A 借: 管理费用-办公费/低值易耗品; 贷: 银行存款 (广州多艺多贸易有限公司),medium,"需补订单/用途/发票, 无票需保留风险标记"
46,20210131 10:38:33,expense,408.0,支付宝（中国）网络技术有限公司客户备付金,消费,网上选购用品-徐州红日成家具有限公司-,hold,office_or_operating_expense,medium,第三方支付已穿透到商户,候选A 借: 管理费用-办公费/低值易耗品; 贷: 银行存款 (徐州红日成家具有限公司),medium,"需补订单/用途/发票, 无票需保留风险标记"
49,,mixed,0.0,,,,hold,uncertain,low,缺少稳定识别依据,待核查,high,需要补充原始凭证
