row,date,direction,amount,counterparty,summary,remark,decision,classification,confidence,evidence_layer,basis,treatment,risk,note
15,20210130 14:47:09,expense,633.36,马进喜,网络转账,货款,hold,procurement_payment_unmapped_person,low,C,资金方向为流出；备注为货款；自然人未映射到真实供应商,待补私户-供应商映射或采购订单后入账,high,缺真实供应商主体
16,20210130 15:01:25,expense,312.71,曾丽纯,网络转账,货款,hold,procurement_payment_unmapped_person,low,C,资金方向为流出；备注为货款；自然人未映射到真实供应商,待补私户-供应商映射或采购订单后入账,high,缺真实供应商主体
17,20210130 15:07:06,expense,74.98,陈述,网络转账,货款,hold,procurement_payment_unmapped_person,low,C,资金方向为流出；备注为货款；自然人未映射到真实供应商,待补私户-供应商映射或采购订单后入账,high,缺真实供应商主体
18,20210130 15:16:13,expense,546.0,深圳市唯诺讯科技有限公司,网络转账,货款,post,procurement_payment,medium,B,资金方向为流出；对方主体明确；备注为货款,候选A 借: 应付账款/预付账款-深圳市唯诺讯科技有限公司; 贷: 银行存款,medium,"若已有到货依据优先应付账款, 否则预付账款"
19,20210130 15:33:28,expense,370.0,扬州非可玩具有限公司,网络转账,货款,post,procurement_payment,medium,B,资金方向为流出；对方主体明确；备注为货款,候选A 借: 应付账款/预付账款-扬州非可玩具有限公司; 贷: 银行存款,medium,"若已有到货依据优先应付账款, 否则预付账款"
20,20210130 15:36:36,expense,329.0,厦门视觉美电子商务集团有限公司,网络转账,货款,post,procurement_payment,medium,B,资金方向为流出；对方主体明确；备注为货款,候选A 借: 应付账款/预付账款-厦门视觉美电子商务集团有限公司; 贷: 银行存款,medium,"若已有到货依据优先应付账款, 否则预付账款"
21,20210130 15:50:17,expense,132.0,程明,网络转账,货款,hold,procurement_payment_unmapped_person,low,C,资金方向为流出；备注为货款；自然人未映射到真实供应商,待补私户-供应商映射或采购订单后入账,high,缺真实供应商主体
22,20210130 15:54:39,expense,164.92,上海童励科技有限公司,网络转账,货款,post,procurement_payment,medium,B,资金方向为流出；对方主体明确；备注为货款,候选A 借: 应付账款/预付账款-上海童励科技有限公司; 贷: 银行存款,medium,"若已有到货依据优先应付账款, 否则预付账款"
23,20210130 15:59:06,expense,333.76,李家林,网络转账,货款,hold,procurement_payment_unmapped_person,low,C,资金方向为流出；备注为货款；自然人未映射到真实供应商,待补私户-供应商映射或采购订单后入账,high,缺真实供应商主体
24,20210130 16:11:00,expense,435.35,深圳皇亚玩具有限公司,网络转账,货款,post,procurement_payment,medium,B,资金方向为流出；对方主体明确；备注为货款,候选A 借: 应付账款/预付账款-深圳皇亚玩具有限公司; 贷: 银行存款,medium,"若已有到货依据优先应付账款, 否则预付账款"
25,20210130 16:22:01,expense,180.0,周志国,网络转账,货款,hold,procurement_payment_unmapped_person,low,C,资金方向为流出；备注为货款；自然人未映射到真实供应商,待补私户-供应商映射或采购订单后入账,high,缺真实供应商主体
26,20210130 16:30:44,expense,1184.0,陈启梅,网络转账,货款,hold,procurement_payment_unmapped_person,low,C,资金方向为流出；备注为货款；自然人未映射到真实供应商,待补私户-供应商映射或采购订单后入账,high,缺真实供应商主体
27,20210130 16:33:29,expense,15.0,上海童励科技有限公司,网络转账,货款,post,procurement_payment,medium,B,资金方向为流出；对方主体明确；备注为货款,候选A 借: 应付账款/预付账款-上海童励科技有限公司; 贷: 银行存款,medium,"若已有到货依据优先应付账款, 否则预付账款"
28,20210130 17:02:06,expense,247.0,郭海洋,网络转账,货款,hold,procurement_payment_unmapped_person,low,C,资金方向为流出；备注为货款；自然人未映射到真实供应商,待补私户-供应商映射或采购订单后入账,high,缺真实供应商主体
29,20210130 17:20:39,expense,197.27,义乌墨言文化用品有限公司,网络转账,货款,post,procurement_payment,medium,B,资金方向为流出；对方主体明确；备注为货款,候选A 借: 应付账款/预付账款-义乌墨言文化用品有限公司; 贷: 银行存款,medium,"若已有到货依据优先应付账款, 否则预付账款"
30,20210130 17:32:56,expense,488.0,梁飞红,网络转账,货款,hold,procurement_payment_unmapped_person,low,C,资金方向为流出；备注为货款；自然人未映射到真实供应商,待补私户-供应商映射或采购订单后入账,high,缺真实供应商主体
31,20210130 17:37:28,expense,221.48,扬州萌豆豆玩具有限公司,网络转账,货款,post,procurement_payment,medium,B,资金方向为流出；对方主体明确；备注为货款,候选A 借: 应付账款/预付账款-扬州萌豆豆玩具有限公司; 贷: 银行存款,medium,"若已有到货依据优先应付账款, 否则预付账款"
32,20210130 17:41:31,expense,743.7,刘巨乐,网络转账,货款,hold,procurement_payment_unmapped_person,low,C,资金方向为流出；备注为货款；自然人未映射到真实供应商,待补私户-供应商映射或采购订单后入账,high,缺真实供应商主体
33,20210130 17:44:31,expense,79.38,奥艺(上海)贸易有限公司,网络转账,货款,post,procurement_payment,medium,B,资金方向为流出；对方主体明确；备注为货款,候选A 借: 应付账款/预付账款-奥艺(上海)贸易有限公司; 贷: 银行存款,medium,"若已有到货依据优先应付账款, 否则预付账款"
34,20210130 22:18:13,expense,800.0,深圳市奇佳工艺品有限公司,网络转账,货款,post,procurement_payment,medium,B,资金方向为流出；对方主体明确；备注为货款,候选A 借: 应付账款/预付账款-深圳市奇佳工艺品有限公司; 贷: 银行存款,medium,"若已有到货依据优先应付账款, 否则预付账款"
35,20210130 22:52:34,expense,3258.0,支付宝（中国）网络技术有限公司客户备付金,消费,网上选购装修用品-上海羽维电子商务有限公司-,hold,alipay_procurement_or_expense,medium,B,已穿透到商户名称；用途存在采购/用品线索；缺订单号/发票/资产性质判断,候选A 借: 管理费用/库存商品/长期待摊费用; 贷: 银行存款 (上海羽维电子商务有限公司),medium,"已比旧规则前进一步, 但仍需订单与用途证据"
36,20210130 22:55:22,expense,2560.0,支付宝（中国）网络技术有限公司客户备付金,消费,网上选购用品-朱鹏-,hold,alipay_procurement_or_expense,medium,B,已穿透到商户名称；用途存在采购/用品线索；缺订单号/发票/资产性质判断,候选A 借: 管理费用/库存商品/长期待摊费用; 贷: 银行存款 (朱鹏),medium,"已比旧规则前进一步, 但仍需订单与用途证据"
37,20210130 22:59:45,expense,633.6,支付宝（中国）网络技术有限公司客户备付金,消费,网上选购用品-江苏佳程信息科技有限公司-,hold,alipay_procurement_or_expense,medium,B,已穿透到商户名称；用途存在采购/用品线索；缺订单号/发票/资产性质判断,候选A 借: 管理费用/库存商品/长期待摊费用; 贷: 银行存款 (江苏佳程信息科技有限公司),medium,"已比旧规则前进一步, 但仍需订单与用途证据"
38,20210130 23:11:00,expense,1524.0,卢晓春,网络转账,货款,hold,procurement_payment_unmapped_person,low,C,资金方向为流出；备注为货款；自然人未映射到真实供应商,待补私户-供应商映射或采购订单后入账,high,缺真实供应商主体
39,20210130 23:16:35,expense,248.0,支付宝（中国）网络技术有限公司客户备付金,消费,网上选购用品-谢寿明-,hold,alipay_procurement_or_expense,medium,B,已穿透到商户名称；用途存在采购/用品线索；缺订单号/发票/资产性质判断,候选A 借: 管理费用/库存商品/长期待摊费用; 贷: 银行存款 (谢寿明),medium,"已比旧规则前进一步, 但仍需订单与用途证据"
40,20210130 23:38:00,expense,180.0,支付宝（中国）网络技术有限公司客户备付金,消费,网上选购用品-刘校贤-,hold,alipay_procurement_or_expense,medium,B,已穿透到商户名称；用途存在采购/用品线索；缺订单号/发票/资产性质判断,候选A 借: 管理费用/库存商品/长期待摊费用; 贷: 银行存款 (刘校贤),medium,"已比旧规则前进一步, 但仍需订单与用途证据"
41,20210130 23:41:08,expense,326.7,支付宝（中国）网络技术有限公司客户备付金,消费,网上选购用品-许开兴-,hold,alipay_procurement_or_expense,medium,B,已穿透到商户名称；用途存在采购/用品线索；缺订单号/发票/资产性质判断,候选A 借: 管理费用/库存商品/长期待摊费用; 贷: 银行存款 (许开兴),medium,"已比旧规则前进一步, 但仍需订单与用途证据"
42,20210130 23:48:56,expense,186.62,支付宝（中国）网络技术有限公司客户备付金,消费,网上选购用品-重庆仔仔科技有限公司-,hold,alipay_procurement_or_expense,medium,B,已穿透到商户名称；用途存在采购/用品线索；缺订单号/发票/资产性质判断,候选A 借: 管理费用/库存商品/长期待摊费用; 贷: 银行存款 (重庆仔仔科技有限公司),medium,"已比旧规则前进一步, 但仍需订单与用途证据"
43,20210130 23:52:34,expense,211.03,支付宝（中国）网络技术有限公司客户备付金,消费,网上选购用品-高克文-,hold,alipay_procurement_or_expense,medium,B,已穿透到商户名称；用途存在采购/用品线索；缺订单号/发票/资产性质判断,候选A 借: 管理费用/库存商品/长期待摊费用; 贷: 银行存款 (高克文),medium,"已比旧规则前进一步, 但仍需订单与用途证据"
44,20210131 09:38:07,expense,1844.11,支付宝（中国）网络技术有限公司客户备付金,消费,网上选购用品-深圳市华创商业展示有限公司-,hold,alipay_procurement_or_expense,medium,B,已穿透到商户名称；用途存在采购/用品线索；缺订单号/发票/资产性质判断,候选A 借: 管理费用/库存商品/长期待摊费用; 贷: 银行存款 (深圳市华创商业展示有限公司),medium,"已比旧规则前进一步, 但仍需订单与用途证据"
45,20210131 10:16:58,expense,2168.0,支付宝（中国）网络技术有限公司客户备付金,消费,网上选购用品-广州多艺多贸易有限公司-,hold,alipay_procurement_or_expense,medium,B,已穿透到商户名称；用途存在采购/用品线索；缺订单号/发票/资产性质判断,候选A 借: 管理费用/库存商品/长期待摊费用; 贷: 银行存款 (广州多艺多贸易有限公司),medium,"已比旧规则前进一步, 但仍需订单与用途证据"
46,20210131 10:38:33,expense,408.0,支付宝（中国）网络技术有限公司客户备付金,消费,网上选购用品-徐州红日成家具有限公司-,hold,alipay_procurement_or_expense,medium,B,已穿透到商户名称；用途存在采购/用品线索；缺订单号/发票/资产性质判断,候选A 借: 管理费用/库存商品/长期待摊费用; 贷: 银行存款 (徐州红日成家具有限公司),medium,"已比旧规则前进一步, 但仍需订单与用途证据"
