row,date,amount,direction,counterparty,remark,our_decision,our_classification,our_treatment,confirmed_voucher,confirmed_digest,confirmed_logic,assessment,why_not_sure
14,20210130,1732.4,支出,合肥晔彤商贸有限公司,货款,post,purchase_payment,借: 预付账款-合肥晔彤商贸有限公司; 贷: 银行存款,银付-12,采购盲盒（合肥晔彤商贸有限公司）05561368,应付账款 / 银行存款-建设银行基本户44050167065300000136,可入账，但科目口径偏保守,我先按预付账款处理；标准答案按应付账款付款并在月末转入库存商品，说明其掌握了到货/入库依据。
15,20210130,633.36,支出,马进喜,货款,hold,purchase_payment,借: 预付账款-马进喜; 贷: 银行存款,银付-13,采购盲盒（上海悦佳小商品市场经营管理有限公司）34410114,应付账款 / 银行存款-建设银行基本户44050167065300000136,我当时过于保守/信息不足,缺私户代收与实际供应商映射、订单号或采购台账；银行对手名不是最终供应商。
16,20210130,312.71,支出,曾丽纯,货款,hold,purchase_payment,借: 预付账款-曾丽纯; 贷: 银行存款,银付-14,采购玩具（汕头市澄海区贝哆玩具有限公司）56619108,应付账款 / 银行存款-建设银行基本户44050167065300000136,我当时过于保守/信息不足,缺私户代收与实际供应商映射、订单号或采购台账；银行对手名不是最终供应商。
17,20210130,74.98,支出,陈述,货款,hold,purchase_payment,借: 预付账款-陈述; 贷: 银行存款,银付-15,采购袜子（东莞市赐美服装有限公司）19979134,应付账款 / 银行存款-建设银行基本户44050167065300000136,我当时过于保守/信息不足,缺私户代收与实际供应商映射、订单号或采购台账；银行对手名不是最终供应商。
18,20210130,546.0,支出,深圳市唯诺讯科技有限公司,货款,post,purchase_payment,借: 预付账款-深圳市唯诺讯科技有限公司; 贷: 银行存款,银付-16,采购小书包（深圳市唯诺讯科技有限公司）,应付账款 / 银行存款-建设银行基本户44050167065300000136,可入账，但科目口径偏保守,我先按预付账款处理；标准答案按应付账款付款并在月末转入库存商品，说明其掌握了到货/入库依据。
19,20210130,370.0,支出,扬州非可玩具有限公司,货款,post,purchase_payment,借: 预付账款-扬州非可玩具有限公司; 贷: 银行存款,银付-17,采购抱枕（扬州非可玩具有限公司）49287767,应付账款 / 银行存款-建设银行基本户44050167065300000136,可入账，但科目口径偏保守,我先按预付账款处理；标准答案按应付账款付款并在月末转入库存商品，说明其掌握了到货/入库依据。
20,20210130,329.0,支出,厦门视觉美电子商务集团有限公司,货款,post,purchase_payment,借: 预付账款-厦门视觉美电子商务集团有限公司; 贷: 银行存款,银付-18,采购地垫（厦门科美诺文化科技有限公司）19874868,应付账款 / 银行存款-建设银行基本户44050167065300000136,可入账，但科目口径偏保守,我先按预付账款处理；标准答案按应付账款付款并在月末转入库存商品，说明其掌握了到货/入库依据。
21,20210130,132.0,支出,程明,货款,hold,purchase_payment,借: 预付账款-程明; 贷: 银行存款,银付-19,采购玩具（义乌市魅拔贸易有限公司）55588313,应付账款 / 银行存款-建设银行基本户44050167065300000136,我当时过于保守/信息不足,缺私户代收与实际供应商映射、订单号或采购台账；银行对手名不是最终供应商。
22,20210130,164.92,支出,上海童励科技有限公司,货款,post,purchase_payment,借: 预付账款-上海童励科技有限公司; 贷: 银行存款,银付-20,采购玩具（上海童励科技有限公司）10893870,应付账款 / 银行存款-建设银行基本户44050167065300000136,可入账，但科目口径偏保守,我先按预付账款处理；标准答案按应付账款付款并在月末转入库存商品，说明其掌握了到货/入库依据。
23,20210130,333.76,支出,李家林,货款,hold,purchase_payment,借: 预付账款-李家林; 贷: 银行存款,银付-21,采购抱枕（杭州市布绒坊商贸有限公司）48185731,应付账款 / 银行存款-建设银行基本户44050167065300000136,我当时过于保守/信息不足,缺私户代收与实际供应商映射、订单号或采购台账；银行对手名不是最终供应商。
24,20210130,435.35,支出,深圳皇亚玩具有限公司,货款,post,purchase_payment,借: 预付账款-深圳皇亚玩具有限公司; 贷: 银行存款,银付-22,采购泰迪熊（临沂本真礼品有限公司）16074151,应付账款 / 银行存款-建设银行基本户44050167065300000136,可入账，但科目口径偏保守,我先按预付账款处理；标准答案按应付账款付款并在月末转入库存商品，说明其掌握了到货/入库依据。
25,20210130,180.0,支出,周志国,货款,hold,purchase_payment,借: 预付账款-周志国; 贷: 银行存款,银付-23,采购玩具（扬州斯克玩具有限公司）49284616,应付账款 / 银行存款-建设银行基本户44050167065300000136,我当时过于保守/信息不足,缺私户代收与实际供应商映射、订单号或采购台账；银行对手名不是最终供应商。
26,20210130,1184.0,支出,陈启梅,货款,hold,purchase_payment,借: 预付账款-陈启梅; 贷: 银行存款,银付-24,采购陶瓷杯（深圳德惠陶瓷实业有限公司）06282510,应付账款 / 银行存款-建设银行基本户44050167065300000136,我当时过于保守/信息不足,缺私户代收与实际供应商映射、订单号或采购台账；银行对手名不是最终供应商。
27,20210130,15.0,支出,上海童励科技有限公司,货款,post,purchase_payment,借: 预付账款-上海童励科技有限公司; 贷: 银行存款,银付-20,采购玩具（上海童励科技有限公司）10893870,应付账款 / 银行存款-建设银行基本户44050167065300000136,可入账，但科目口径偏保守,我先按预付账款处理；标准答案按应付账款付款并在月末转入库存商品，说明其掌握了到货/入库依据。
28,20210130,247.0,支出,郭海洋,货款,hold,purchase_payment,借: 预付账款-郭海洋; 贷: 银行存款,银付-25,采购盲盒（义乌市朗盛贸易有限公司）,应付账款 / 银行存款-建设银行基本户44050167065300000136,我当时过于保守/信息不足,缺私户代收与实际供应商映射、订单号或采购台账；银行对手名不是最终供应商。
29,20210130,197.27,支出,义乌墨言文化用品有限公司,货款,post,purchase_payment,借: 预付账款-义乌墨言文化用品有限公司; 贷: 银行存款,银付-26,采购笔记本（义乌市墨言文化用品有限公司）56673457,应付账款 / 银行存款-建设银行基本户44050167065300000136,可入账，但科目口径偏保守,我先按预付账款处理；标准答案按应付账款付款并在月末转入库存商品，说明其掌握了到货/入库依据。
30,20210130,488.0,支出,梁飞红,货款,hold,purchase_payment,借: 预付账款-梁飞红; 贷: 银行存款,银付-27,采购玩具兔（佛山市萌乐奇创意产品有限公司）,应付账款 / 银行存款-建设银行基本户44050167065300000136,我当时过于保守/信息不足,缺私户代收与实际供应商映射、订单号或采购台账；银行对手名不是最终供应商。
31,20210130,221.48,支出,扬州萌豆豆玩具有限公司,货款,post,purchase_payment,借: 预付账款-扬州萌豆豆玩具有限公司; 贷: 银行存款,银付-28,采购泰迪熊（扬州萌豆豆玩具有限公司）,应付账款 / 银行存款-建设银行基本户44050167065300000136,可入账，但科目口径偏保守,我先按预付账款处理；标准答案按应付账款付款并在月末转入库存商品，说明其掌握了到货/入库依据。
32,20210130,743.7,支出,刘巨乐,货款,hold,purchase_payment,借: 预付账款-刘巨乐; 贷: 银行存款,银付-29,采购鼠标垫（廊坊整点科技有限公司）,应付账款 / 银行存款-建设银行基本户44050167065300000136,我当时过于保守/信息不足,缺私户代收与实际供应商映射、订单号或采购台账；银行对手名不是最终供应商。
33,20210130,79.38,支出,奥艺(上海)贸易有限公司,货款,post,purchase_payment,借: 预付账款-奥艺(上海)贸易有限公司; 贷: 银行存款,银付-11,采购收纳袋（奥艺（上海）贸易有限公司））11691084,应付账款 / 银行存款-建设银行基本户44050167065300000136,可入账，但科目口径偏保守,我先按预付账款处理；标准答案按应付账款付款并在月末转入库存商品，说明其掌握了到货/入库依据。
34,20210130,800.0,支出,深圳市奇佳工艺品有限公司,货款,post,purchase_payment,借: 预付账款-深圳市奇佳工艺品有限公司; 贷: 银行存款,银付-30,采购相框（深圳市奇佳工艺品有限公司）597337836,应付账款 / 银行存款-建设银行基本户44050167065300000136,可入账，但科目口径偏保守,我先按预付账款处理；标准答案按应付账款付款并在月末转入库存商品，说明其掌握了到货/入库依据。
35,20210130,3258.0,支出,支付宝（中国）网络技术有限公司客户备付金,网上选购装修用品-上海羽维电子商务有限公司-,hold,office_fitout_expense,候选A 借: 长期待摊费用/管理费用-装修费; 贷: 银行存款 (上海羽维电子商务有限公司),银付-31,采购收纳柜（上海羽维电子商务有限公司）36523551,应付账款 / 银行存款-建设银行基本户44050167065300000136,我当时过于保守/信息不足,缺支付宝订单/商户穿透信息与采购用途；标准答案使用了真实商户名、品类和订单号。
36,20210130,2560.0,支出,支付宝（中国）网络技术有限公司客户备付金,网上选购用品-朱鹏-,hold,office_or_operating_expense,候选A 借: 管理费用-办公费/低值易耗品; 贷: 银行存款 (朱鹏),银付-32,采购家具（徐州三叉戟家具有限公司）79277632,应付账款 / 银行存款-建设银行基本户44050167065300000136,我当时过于保守/信息不足,缺支付宝订单/商户穿透信息与采购用途；标准答案使用了真实商户名、品类和订单号。
37,20210130,633.6,支出,支付宝（中国）网络技术有限公司客户备付金,网上选购用品-江苏佳程信息科技有限公司-,hold,office_or_operating_expense,候选A 借: 管理费用-办公费/低值易耗品; 贷: 银行存款 (江苏佳程信息科技有限公司),银付-33,采购文具（福州市台江区信诚贸易有限公司）19941619,应付账款 / 银行存款-建设银行基本户44050167065300000136,我当时过于保守/信息不足,缺支付宝订单/商户穿透信息与采购用途；标准答案使用了真实商户名、品类和订单号。
38,20210130,1524.0,支出,卢晓春,货款,hold,purchase_payment,借: 预付账款-卢晓春; 贷: 银行存款,银付-34,采购家具（福建安溪简欧工艺品有限公司）14142059,应付账款 / 银行存款-建设银行基本户44050167065300000136,我当时过于保守/信息不足,缺私户代收与实际供应商映射、订单号或采购台账；银行对手名不是最终供应商。
39,20210130,248.0,支出,支付宝（中国）网络技术有限公司客户备付金,网上选购用品-谢寿明-,hold,office_or_operating_expense,候选A 借: 管理费用-办公费/低值易耗品; 贷: 银行存款 (谢寿明),银付-35,采购家具（锦华顺兴（香港）实业有限公司））,应付账款 / 银行存款-建设银行基本户44050167065300000136,我当时过于保守/信息不足,缺支付宝订单/商户穿透信息与采购用途；标准答案使用了真实商户名、品类和订单号。
40,20210130,180.0,支出,支付宝（中国）网络技术有限公司客户备付金,网上选购用品-刘校贤-,hold,office_or_operating_expense,候选A 借: 管理费用-办公费/低值易耗品; 贷: 银行存款 (刘校贤),银付-36,采购家具（厦门老木匠心家居有限公司）19852094,应付账款 / 银行存款-建设银行基本户44050167065300000136,我当时过于保守/信息不足,缺支付宝订单/商户穿透信息与采购用途；标准答案使用了真实商户名、品类和订单号。
41,20210130,326.7,支出,支付宝（中国）网络技术有限公司客户备付金,网上选购用品-许开兴-,hold,office_or_operating_expense,候选A 借: 管理费用-办公费/低值易耗品; 贷: 银行存款 (许开兴),银付-37,采购家具（安溪县城厢巧华家具店）85423758,应付账款 / 银行存款-建设银行基本户44050167065300000136,我当时过于保守/信息不足,缺支付宝订单/商户穿透信息与采购用途；标准答案使用了真实商户名、品类和订单号。
42,20210130,186.62,支出,支付宝（中国）网络技术有限公司客户备付金,网上选购用品-重庆仔仔科技有限公司-,hold,office_or_operating_expense,候选A 借: 管理费用-办公费/低值易耗品; 贷: 银行存款 (重庆仔仔科技有限公司),银付-38,采购家具,应付账款 / 银行存款-建设银行基本户44050167065300000136,我当时过于保守/信息不足,缺支付宝订单/商户穿透信息与采购用途；标准答案使用了真实商户名、品类和订单号。
43,20210130,211.03,支出,支付宝（中国）网络技术有限公司客户备付金,网上选购用品-高克文-,hold,office_or_operating_expense,候选A 借: 管理费用-办公费/低值易耗品; 贷: 银行存款 (高克文),银付-39,采购家具（广州恒达置业有限公司）,应付账款 / 银行存款-建设银行基本户44050167065300000136,我当时过于保守/信息不足,缺支付宝订单/商户穿透信息与采购用途；标准答案使用了真实商户名、品类和订单号。
44,20210131,1844.11,支出,支付宝（中国）网络技术有限公司客户备付金,网上选购用品-深圳市华创商业展示有限公司-,hold,office_or_operating_expense,候选A 借: 管理费用-办公费/低值易耗品; 贷: 银行存款 (深圳市华创商业展示有限公司),银付-40,采购家具（深圳市华创商业展示有限公司）42141132,应付账款 / 银行存款-建设银行基本户44050167065300000136,我当时过于保守/信息不足,缺支付宝订单/商户穿透信息与采购用途；标准答案使用了真实商户名、品类和订单号。
45,20210131,2168.0,支出,支付宝（中国）网络技术有限公司客户备付金,网上选购用品-广州多艺多贸易有限公司-,hold,office_or_operating_expense,候选A 借: 管理费用-办公费/低值易耗品; 贷: 银行存款 (广州多艺多贸易有限公司),银付-41,采购家具（广州多艺多贸易有限公司）34540439,应付账款 / 银行存款-建设银行基本户44050167065300000136,我当时过于保守/信息不足,缺支付宝订单/商户穿透信息与采购用途；标准答案使用了真实商户名、品类和订单号。
46,20210131,408.0,支出,支付宝（中国）网络技术有限公司客户备付金,网上选购用品-徐州红日成家具有限公司-,hold,office_or_operating_expense,候选A 借: 管理费用-办公费/低值易耗品; 贷: 银行存款 (徐州红日成家具有限公司),银付-42,采购家具（徐州欧耐家具有限公司）63246037,应付账款 / 银行存款-建设银行基本户44050167065300000136,我当时过于保守/信息不足,缺支付宝订单/商户穿透信息与采购用途；标准答案使用了真实商户名、品类和订单号。
